Member State,Code,Adolescent birth rate (per 1000 women aged 15-19 years),Annual mean concentrations of fine particulate matter (PM2.5) in urban areas (µg/m3),Average death rate due to natural disasters (per 100 000 population),Average of 13 International Health Regulations core capacity scores,Estimated direct deaths from major conflicts (per 100 000 population),Healthy life expectancy at birth (years),Infants receiving three doses of hepatitis B vaccine (%),Life expectancy at birth (years),Malaria incidence (per 1000 population at risk),Maternal mortality ratio (per 100 000 live births),Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population),Mortality rate attributed to household and ambient air pollution (per 100 000 population),Mortality rate due to homicide (per 100 000 population),Mortality rate from unintentional poisoning (per 100 000 population),Neonatal mortality rate (per 1000 live births),New HIV infections among adults 15-49 years old (per 1000 uninfected population),Prevalence of overweight in children under 5 (%),Prevalence of stunting in children under 5 (%),Prevalence of wasting in children under 5 (%),"Probability of dying from any of CVD, cancer, diabetes, CRD between age 30 and exact age 70 (%)",Proportion of births attended by skilled health personnel (%),Proportion of married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),Proportion of population using improved drinking-water sources (%),Proportion of population using improved sanitation (%),Proportion of population with primary reliance on clean fuels (%),Reported number of people requiring interventions against NTDs,Road traffic mortality rate (per 100 000 population),Skilled health professionals density (per 10 000 population),Suicide mortality rate (per 100 000 population),TB incidence (per 100 000 population),"Total alcohol per capita (15 years of age) consumption, in litres of pure alcohol, projected estimates",Total population (000s),Under-five mortality rate (per 1000 live births)
Egypt,EGY,56,101.8,0,93,0.4,62.2,94,70.9,_,33,1.6,52.1,5.1,2.1,12.8,0.1,15.7,22.3,9.5,24.5,92,80,99,95,95,1117250,12.8,63.5,1.6,15,0.3,91508,24
El Salvador,SLV,72,37.1,0.1,93,0,64.1,93,73.5,0.1,54,2.4,44.6,43.9,0.5,8.3,0.2,6,14,2,16.9,98,81.9,94,75,83,874565,21.1,20,12.8,41,3.5,6127,16.8
Equatorial Guinea,GNQ,176,32,0,27,0,51.2,24,58.2,211.1,342,57.3,98.3,3.5,5,33.1,2.9,9.7,26.2,3.1,23.4,68,20.5,48,75,22,465062,22.9,_,13.9,162,8.1,845,94.1
Eritrea,ERI,76,35.7,0,73,0.1,55.9,94,64.7,17.4,501,34.9,75.8,7.7,4.7,18.4,0.2,1.9,50.3,15.3,24.2,34,19.6,58,16,14,976756,24.1,_,8.3,78,1.4,5228,46.5
Estonia,EST,15.6,8.5,0,72,0.1,68.9,93,77.6,_,9,0.1,54.2,5.4,0.8,1.5,_,_,_,_,18.8,99,_,100,97,92,1,7,96.2,18.7,20,_,1313,2.9
Ethiopia,ETH,71.2,36.7,0,78,0.2,56.1,77,64.8,117.8,353,29.6,56.8,8,3.5,27.7,_,2.6,40.4,8.7,15.2,16,57.6,57,28,5,67843988,25.3,2.8,7.5,207,4.3,99391,59.2
Fiji,FJI,27.5,11.4,0.4,98,0,62.9,99,69.9,_,30,3,76.9,2.3,4.7,9.6,0.2,_,_,_,30.8,99,_,96,91,37,899436,5.8,26.7,5.9,67,3.2,892,22.4
Finland,FIN,7.3,7.1,0,96,0.1,71,_,81.1,_,3,0.2,6,1.4,1.5,1.3,_,_,_,_,11.2,100,_,100,98,95,0,4.8,137.7,16.7,5.6,11.9,5503,2.3
France,FRA,6.2,12.7,0.1,94,0.1,72.6,82,82.4,_,8,0.5,17.2,1,2,2.2,_,_,_,_,11.4,98,95.5,100,99,95,178,5.1,124.9,15.8,8.7,11.6,64395,4.3
Gabon,GAB,115,35.9,0,48,0,57.2,70,66,210.6,291,28.1,47,9.3,1.8,23.2,1.4,7.7,17.5,3.4,15,89,33.7,93,42,73,1534672,22.9,_,7,444,11.8,1725,50.8
Gambia,GMB,88,43,0.1,33,0,53.8,96,61.1,233.1,706,21,70.9,9.4,1.8,29.9,1.1,3.2,25,11.1,19.1,57,23.9,90,59,5,1200503,29.4,9.7,3.2,174,3.2,1991,68.9
Georgia,GEO,41.5,23.3,0.2,81,0.1,66.5,91,74.4,0,36,0.2,292.3,4.8,0.9,7.2,0.3,19.9,11.3,1.6,21.6,100,52.8,100,86,55,79,11.8,74.9,3.8,106,6.7,4000,11.9
Germany,DEU,7.8,14.5,0.1,99,0.1,71.3,87,81,_,6,0.9,32.5,0.8,0.3,2.1,_,3.5,1.3,1,12.3,99,_,100,99,95,265,4.3,136.1,13,6.2,10.6,80689,3.7
Ghana,DHA,65,22.2,0.2,69,0,55.3,98,62.4,318.5,319,20,80.8,10,2.2,28.3,0.7,2.6,18.8,4.7,20.3,71,44.6,89,15,21,18697745,26.2,10.2,2.3,165,5.4,27410,61.6
Greece,GRC,8.3,12.7,0.1,76,0.1,71.9,96,81,_,3,0.1,45.1,1.6,0.8,2.9,_,_,_,_,12.9,_,_,100,99,95,73,9.1,_,4.9,4.8,9.3,10955,4.6
Grenada,GRD,_,17,0,66,_,65,97,73.6,_,27,_,_,6.2,_,6,_,_,_,_,_,99,_,97,98,95,39,_,44.9,_,1.3,10.4,107,11.8
Guatemala,GTM,91,33.7,0.2,87,0.2,62.1,73,71.9,2.2,88,9.2,42.5,39.9,1.2,13.4,0.3,4.9,48,1.1,13.5,66,65.5,93,64,36,3255245,19,18.3,7.3,57,3.9,16343,29.1
Guinea,GIN,146,19.4,0,57,0.2,51.7,51,59,403.4,679,40.7,87.9,8.8,3.1,31.3,1.1,3.8,31.3,9.9,20.9,45,15.7,77,20,6,8842314,27.3,1.4,3.3,177,0.7,12609,93.7
Guinea-Bissau,GNB,136.7,28.9,0,50,0.1,51.5,80,58.9,112.1,549,48.9,105.2,10.1,3,39.7,2.5,2.3,27.6,6,22.4,45,37.6,79,21,5,1884916,27.5,6.6,3.1,369,4.3,1844,92.5
Guyana,GUY,101,16.2,0,85,0,58.9,98,66.2,129.3,229,4,42.7,20.2,0.7,22.8,2,5.3,12,6.4,28.4,92,52.5,98,84,61,720357,17.3,7.5,34.8,103,8.6,767,39.4
Haiti,HTI,66,24.6,0.4,48,0,55.4,48,63.5,13.6,359,28.5,112.6,26.6,1.9,25.4,1.1,3.6,21.9,5.2,23.9,37,44.8,58,28,9,11358721,15.1,_,2.3,200,5.9,10711,69
